"id","stateid","name","status","created_at","updated_at"
"1082","32","Moradabad","1","2023-04-11 05:53:06","2023-04-11 05:53:06"
"1083","32","Jhansi","1","2023-04-11 05:54:09","2023-04-11 05:54:09"
"1084","32","Mahoba","1","2023-04-11 05:55:35","2023-04-11 05:55:35"
"1085","32","Lalitpur","1","2023-04-11 05:56:14","2023-04-11 05:56:14"
"1086","32","Saharanpur","1","2023-04-11 05:56:59","2023-04-11 05:56:59"
"1087","32","Firozabad","1","2023-04-11 05:58:13","2023-04-11 05:58:13"
"1088","32","Najibabad","1","2023-04-11 05:59:09","2023-04-11 05:59:09"
"1089","32","Baraut","1","2023-04-11 06:00:16","2023-04-11 06:00:16"
"1090","32","Chandausi","1","2023-04-11 06:00:45","2023-04-11 06:00:45"
"1091","32","Orai","1","2023-04-11 06:01:27","2023-04-11 06:01:27"
"1092","26","Hamirpur","1","2023-04-11 06:03:24","2023-04-11 06:03:24"
"1093","26","Bhawanigarh","1","2023-04-11 06:05:16","2023-04-11 06:05:16"
"1094","26","Mohali","1","2023-04-11 06:05:36","2023-04-11 06:05:36"
"1095","26","Barnala","1","2023-04-11 06:05:52","2023-04-11 06:05:52"
"1096","26","Sas Nagar","1","2023-04-11 06:06:10","2023-04-11 06:06:10"
"1097","26","Zirakpur","1","2023-04-11 06:06:43","2023-04-11 06:06:43"
"1098","26","Patran","1","2023-04-11 06:07:25","2023-04-11 06:07:25"
"1099","26","Sangrur","1","2023-04-11 06:07:59","2023-04-11 06:07:59"
"1100","26","Sunam","1","2023-04-11 06:08:30","2023-04-11 06:08:30"
"1101","26","Nabha","1","2023-04-11 06:08:48","2023-04-11 06:08:48"
"1102","26","Samana","1","2023-04-11 06:09:33","2023-04-11 06:09:33"
"1103","26","Bherampur Bet","1","2023-04-11 06:10:12","2023-04-11 06:10:12"
"1104","26","Sirhind","1","2023-04-11 06:10:43","2023-04-11 06:10:43"
"1105","26","Kharar","1","2023-04-11 06:11:06","2023-04-11 06:11:06"
