"id","category_id","product_name","sku","alias","product_description","product_specs","product_size","product_thickness","product_ply","product_id","price","weight","sale_price","s_start_date","s_end_date","sp_status","thumb_image","big_image","himage","pdf","seo_title","seo_keywords","seo_description","p_quantity","status","cdate","ordering","p_color","related_product","product_life","NewArrivals","Exclusive","Promotion","AmazingOffers","popular","short_desc","additional_information","neworold"
"511","45","GRAINLESS TEAK","T875","grainless-teak",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Grainless-Teak-T875.jpg","Grainless-Teak-T875.jpg",,,"Grainless Teak","Grainless Teak","Grainless Teak","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"512","46","DARK AMERICAN WALNUT CROWN","FA27","dark-american-walnut-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Dark-American-Walnut-Crown-FA27.jpg","Dark-American-Walnut-Crown-FA27.jpg",,,"Dark American Walnut crown","Dark American Walnut crown","Dark American Walnut crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","1"
"513","46","DYED ASH WINE BROWN","FA57","dyed-ash-wine-brown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Dyed-Ash-Wine-Brown-FA57.jpg","Dyed-Ash-Wine-Brown-FA57.jpg",,,"Dyed Ash Wine Brown","Dyed Ash Wine Brown","Dyed Ash Wine Brown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","1"
"514","46","Smoked Santos","F992","smoked-santos",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Smoked-Santos-F992.jpg","Smoked-Santos-F992.jpg",,,"Smoked Santos","Smoked Santos","Smoked Santos","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"515","46","Pristine Oak","F969","pristine-oak",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Pristine-Oak-F969.jpg","Pristine-Oak-F969.jpg",,,"Pristine Oak","Pristine Oak","Pristine Oak","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"516","46","Brewed Oak","F970","brewed-oak",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Brewed-Oak-F970.jpg","Brewed-Oak-F970.jpg",,,"Brewed Oak","Brewed Oak","Brewed Oak","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"517","46","Smoked Walnut Crown","F983","smoked-walnut-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Smoked-Walnut-Crown-F983.jpg","Smoked-Walnut-Crown-F983.jpg",,,"Smoked Walnut Crown","Smoked Walnut Crown","Smoked Walnut Crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"518","46","Wenge Crown","F824","wenge-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Wenge-Crown-F824.jpg","Wenge-Crown-F824.jpg",,,"Wenge Crown","Wenge Crown","Wenge Crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"519","46","Chocolate Santos","F888","chocolate-santos",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Chocolate-Santos-F888.jpg","Chocolate-Santos-F888.jpg",,,"Chocolate Santos","Chocolate Santos","Chocolate Santos","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"520","46","Coffee Walnut Crown","F882","coffee-walnut-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Coffee-Walnut-Crown-F882.jpg","Coffee-Walnut-Crown-F882.jpg",,,"Coffee Walnut Crown","Coffee Walnut Crown","Coffee Walnut Crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
