ID,Name,cat,,model_code,alias,specs,imag,,
1468,Bibolo,Dark,,NV-242,bibolo,8ft. x 4ft.,NV-242-Bibolo.jpg,NV-242-Bibolo.jpg,
1469,Bubinga,Dark,,NULL,bubinga,8ft. x 4ft.,,,
1470,Caramel Streaks,Dark,,NULL,caramel-streaks,8ft. x 4ft.,,,
1471,Dark Walnut,Dark,,NV-546,dark-walnut,8ft. x 4ft.,NV-546-Dark-Walnut.jpg,NV-546-Dark-Walnut.jpg,
1472,Ebony,Dark,,NV-307,ebony,8ft. x 4ft.,NV-307-Ebony.jpg,NV-307-Ebony.jpg,
1473,Esplendido Ebano,Dark,,NULL,esplendido-ebano,8ft. x 4ft.,dark-esplendido-ebano-small.jpg,dark-esplendido-ebano-large.jpg,
1474,Gabon Wood,Dark,,NV-833,gabon-wood,8ft. x 4ft.,NV-833-Gabon-Wood.jpg,NV-833-Gabon-Wood.jpg,
1475,Golden Wenge,Dark,,NULL,golden-wenge,8ft. x 4ft.,dark-golden-wenge-small.jpg,dark-golden-wenge-large.jpg,
1476,Ipe,Dark,,NV-328,ipe,8ft. x 4ft.,NV-328-Ipe.jpg,NV-328-Ipe.jpg,
1477,Kuru Pao,Dark,,NULL,kuru-pao,8ft. x 4ft.,dark-kuru-pao-small.jpg,dark-kuru-pao-large.jpg,
1478,Louro Preto,Dark,,NV-532,louro-preto,8ft. x 4ft.,NV-532-Louro-Preto.jpg,NV-532-Louro-Preto.jpg,
1479,Makore,Dark,,NV-422,makore,8ft. x 4ft.,NV-422-Makore.jpg,NV-422-Makore.jpg,
1480,Moibi,Dark,,NULL,moibi,8ft. x 4ft.,,,
1481,Mountain Santos,Dark,,NV-810,mountain-santos,8ft. x 4ft.,NV-810-Mountain-Santos.jpg,NV-810-Mountain-Santos.jpg,
1482,Red Ebony,Dark,,NV-858,red-ebony,8ft. x 4ft.,NV-858-Red-Ebony.jpg,NV-858-Red-Ebony.jpg,
1483,Rosewood,Dark,,NULL,rosewood,8ft. x 4ft.,dark-rosewood-small.jpg,dark-rosewood-large.jpg,
1484,Sapeli Crown,Dark,,NV-415,sapele-crown,8ft. x 4ft.,NV-415-Sapele-Crown.jpg,NV-415-Sapele-Crown.jpg,
1485,Sapeli Pommelle,Dark,,NV-413,sapele-pommelle,8ft. x 4ft.,NV-413-Sapeli-Pommelle.jpg,NV-413-Sapeli-Pommelle.jpg,
1486,Sapele Quarter,Dark,,NULL,sapele-quarter,8ft. x 4ft.,,,
1487,Sapeli,Dark,,NV-418,sapeli,8ft. x 4ft.,NV-418-Sapeli.jpg,NV-418-Sapeli.jpg,
1488,Sucupira,Dark,,NV-334,sucupira,8ft. x 4ft.,NV-334-Sucupira.jpg,NV-334-Sucupira.jpg,
1489,Wenge Crown,Dark,,NV-B21,wenge-crown,8ft. x 4ft.,dark-wenge-crown-small.jpg,dark-wenge-crown-large.jpg,
1490,Wenge Quarter,Dark,,NULL,wenge-quarter,8ft. x 4ft.,,,
1491,Wenge,Dark,,NV-337,wenge,8ft. x 4ft.,NV-337-Wenge.jpg,NV-337-Wenge.jpg,
1492,Louro,Dark,,NV-972,louro,8ft. x 4ft.,NV-972-Louro.jpg,NV-972-Louro.jpg,
1493,Serengeti Wood,Dark,,NULL,serengeti-wood,8ft. x 4ft.,dark-sapele-crown-small.jpg,dark-sapele-crown-large.jpg,
1494,Santos,Dark,,NV-B14,santos,8ft. x 4ft.,NV-B14-Santos.jpg,NV-B14-Santos.jpg,
1495,Bubinga Pommelle,Dark,,NV-401,bubinga-pommelle,8ft. x 4ft.,NV-401-Bubinga-Pommelle.jpg,NV-401-Bubinga-Pommelle.jpg,
1496,Ovangkol,Dark,,NV-234,ovangkol,8ft. x 4ft.,NV-234-Ovangkol.jpg,NV-234-Ovangkol.jpg,
1497,Afromosia,Medium,,NV-205,afromosia,8ft. x 4ft.,NV-205-Afromosia.jpg,NV-205-Afromosia.jpg,
1498,American Cherry,Medium,,NV-427,american-cherry,8ft. x 4ft.,NV-427-American-Cherry.jpg,NV-427-American-Cherry.jpg,
1499,American Red Elm,Medium,,NULL,american-red-elm,8ft. x 4ft.,medium-american-red-elm-small.jpg,medium-american-red-elm-large.jpg,
1500,Aromatic Ceder,Medium,,NULL,aromatic-cedar,8ft. x 4ft.,medium-aromatic-ceder-small.jpg,medium-aromatic-ceder-large.jpg,
1501,Black Sapeli,Medium,,NULL,black-sapele,8ft. x 4ft.,medium-black-sapeli-small.jpg,medium-black-sapeli-large.jpg,
