,State,document_id,Location,Brand,Product ,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
,Telangana,v4q72ukaz5mnoibi04mig983,Hyderabad,Sainik MR,Plywood,8,8,4,1424,100,1524,274.35,1799,117,19,1524,0,24401220,8,24,1,2,0,1,24,0000-00-00 00:00:00
,Telangana,v4q72ukaz5mnoibi04mig983,Hyderabad,Sainik MR,Plywood,12,8,4,1639,100,1739,313.04,2052,118,19,1739,0,24401220,12,24,1,2,0,1,24,0000-00-00 00:00:00
,Telangana,v4q72ukaz5mnoibi04mig983,Hyderabad,Sainik MR,Plywood,15,8,4,2135,100,2235,402.26,2637,119,19,2235,0,24401220,15,24,1,2,0,1,24,0000-00-00 00:00:00
,Telangana,v4q72ukaz5mnoibi04mig983,Hyderabad,Sainik MR,Plywood,18,8,4,2469,100,2569,462.45,3032,120,19,2569,0,24401220,18,24,1,2,0,1,24,0000-00-00 00:00:00
,AP,rtxjsu6zyot2ayl9qb9h0i4h,Vijaywada,Sainik MR,Plywood,6,8,4,1179,100,1279,230.28,1510,121,19,1279,0,24401220,6,25,1,2,0,1,25,0000-00-00 00:00:00
,AP,rtxjsu6zyot2ayl9qb9h0i4h,Vijaywada,Sainik MR,Plywood,8,8,4,1424,100,1524,274.35,1799,122,19,1524,0,24401220,8,25,1,2,0,1,25,0000-00-00 00:00:00
,AP,rtxjsu6zyot2ayl9qb9h0i4h,Vijaywada,Sainik MR,Plywood,12,8,4,1639,100,1739,313.04,2052,123,19,1739,0,24401220,12,25,1,2,0,1,25,0000-00-00 00:00:00
,AP,rtxjsu6zyot2ayl9qb9h0i4h,Vijaywada,Sainik MR,Plywood,15,8,4,2135,100,2235,402.26,2637,124,19,2235,0,24401220,15,25,1,2,0,1,25,0000-00-00 00:00:00
,AP,rtxjsu6zyot2ayl9qb9h0i4h,Vijaywada,Sainik MR,Plywood,18,8,4,2469,100,2569,462.45,3032,125,19,2569,0,24401220,18,25,1,2,0,1,25,0000-00-00 00:00:00
,Kerala,ij5h3gu68ws930k3h4rw5rhg,Kochi,Sainik MR,Plywood,6,8,4,1179,100,1279,230.28,1510,126,19,1279,0,24401220,6,26,1,2,0,1,26,0000-00-00 00:00:00
,Kerala,ij5h3gu68ws930k3h4rw5rhg,Kochi,Sainik MR,Plywood,8,8,4,1424,100,1524,274.35,1799,127,19,1524,0,24401220,8,26,1,2,0,1,26,0000-00-00 00:00:00
,Kerala,ij5h3gu68ws930k3h4rw5rhg,Kochi,Sainik MR,Plywood,12,8,4,1639,100,1739,313.04,2052,128,19,1739,0,24401220,12,26,1,2,0,1,26,0000-00-00 00:00:00
,Kerala,ij5h3gu68ws930k3h4rw5rhg,Kochi,Sainik MR,Plywood,15,8,4,2135,100,2235,402.26,2637,129,19,2235,0,24401220,15,26,1,2,0,1,26,0000-00-00 00:00:00
,Kerala,ij5h3gu68ws930k3h4rw5rhg,Kochi,Sainik MR,Plywood,18,8,4,2469,100,2569,462.45,3032,130,19,2569,0,24401220,18,26,1,2,0,1,26,0000-00-00 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
