Zone,State,document_id,Location,product,category,,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
EAST,Assam,mjrnp3xl3jt7cj3d4tyfbp2v,Guwahati,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2887,100,2987,537.61,3524,43,2,2987,0,24401220,12,9,1,2,0,1,9,0000-00-00 00:00:00
EAST,Assam,mjrnp3xl3jt7cj3d4tyfbp2v,Guwahati,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3564,100,3664,659.52,4324,44,2,3664,0,24401220,16,9,1,2,0,1,9,0000-00-00 00:00:00
EAST,Assam,mjrnp3xl3jt7cj3d4tyfbp2v,Guwahati,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4129,100,4229,761.21,4990,45,2,4229,0,24401220,19,9,1,2,0,1,9,0000-00-00 00:00:00
EAST,Odisha,ay9qibiat1o49awc50hqcvi0,BBSR,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1961,100,2061,370.97,2432,46,2,2061,0,24401220,6,10,1,2,0,1,10,0000-00-00 00:00:00
EAST,Odisha,ay9qibiat1o49awc50hqcvi0,BBSR,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2280,100,2380,428.47,2809,47,2,2380,0,24401220,9,10,1,2,0,1,10,0000-00-00 00:00:00
EAST,Odisha,ay9qibiat1o49awc50hqcvi0,BBSR,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2881,100,2981,536.54,3517,48,2,2981,0,24401220,12,10,1,2,0,1,10,0000-00-00 00:00:00
EAST,Odisha,ay9qibiat1o49awc50hqcvi0,BBSR,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3552,100,3652,657.4,4310,49,2,3652,0,24401220,16,10,1,2,0,1,10,0000-00-00 00:00:00
EAST,Odisha,ay9qibiat1o49awc50hqcvi0,BBSR,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4167,100,4267,768.13,5036,50,2,4267,0,24401220,19,10,1,2,0,1,10,0000-00-00 00:00:00
EAST,Chattisgarh,wgfcodn8u6hc74hk3jpoeex8,Raipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1869,100,1969,354.47,2324,51,2,1969,0,24401220,6,11,1,2,0,1,11,0000-00-00 00:00:00
EAST,Chattisgarh,wgfcodn8u6hc74hk3jpoeex8,Raipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2257,100,2357,424.21,2781,52,2,2357,0,24401220,9,11,1,2,0,1,11,0000-00-00 00:00:00
EAST,Chattisgarh,wgfcodn8u6hc74hk3jpoeex8,Raipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2887,100,2987,537.61,3524,53,2,2987,0,24401220,12,11,1,2,0,1,11,0000-00-00 00:00:00
EAST,Chattisgarh,wgfcodn8u6hc74hk3jpoeex8,Raipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3564,100,3664,659.52,4324,54,2,3664,0,24401220,16,11,1,2,0,1,11,0000-00-00 00:00:00
EAST,Chattisgarh,wgfcodn8u6hc74hk3jpoeex8,Raipur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4129,100,4229,761.21,4990,55,2,4229,0,24401220,19,11,1,2,0,1,11,0000-00-00 00:00:00
EAST,Jharkhand,gjvwezxb801bs6smab9ukse8,RANCHI,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1869,100,1969,354.47,2324,56,2,1969,0,24401220,6,12,1,2,0,1,12,0000-00-00 00:00:00
EAST,Jharkhand,gjvwezxb801bs6smab9ukse8,RANCHI,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2257,100,2357,424.21,2781,57,2,2357,0,24401220,9,12,1,2,0,1,12,0000-00-00 00:00:00
EAST,Jharkhand,gjvwezxb801bs6smab9ukse8,RANCHI,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2887,100,2987,537.61,3524,58,2,2987,0,24401220,12,12,1,2,0,1,12,0000-00-00 00:00:00
EAST,Jharkhand,gjvwezxb801bs6smab9ukse8,RANCHI,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3564,100,3664,659.52,4324,59,2,3664,0,24401220,16,12,1,2,0,1,12,0000-00-00 00:00:00
EAST,Jharkhand,gjvwezxb801bs6smab9ukse8,RANCHI,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4129,100,4229,761.21,4990,60,2,4229,0,24401220,19,12,1,2,0,1,12,0000-00-00 00:00:00
EAST,Bihar,i0czi43fje0vw9ewufiycxlh,Patna,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1961,100,2061,370.97,2432,61,2,2061,0,24401220,6,13,1,2,0,1,13,0000-00-00 00:00:00
EAST,Bihar,i0czi43fje0vw9ewufiycxlh,Patna,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2280,100,2380,428.47,2809,62,2,2380,0,24401220,9,13,1,2,0,1,13,0000-00-00 00:00:00
EAST,Bihar,i0czi43fje0vw9ewufiycxlh,Patna,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2881,100,2981,536.54,3517,63,2,2981,0,24401220,12,13,1,2,0,1,13,0000-00-00 00:00:00
EAST,Bihar,i0czi43fje0vw9ewufiycxlh,Patna,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3552,100,3652,657.4,4310,64,2,3652,0,24401220,16,13,1,2,0,1,13,0000-00-00 00:00:00
EAST,Bihar,i0czi43fje0vw9ewufiycxlh,Patna,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4167,100,4267,768.13,5036,65,2,4267,0,24401220,19,13,1,2,0,1,13,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Mumbai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1943,100,2043,367.78,2411,66,2,2043,0,24401220,6,14,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Mumbai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2277,100,2377,427.94,2805,67,2,2377,0,24401220,9,14,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Mumbai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2907,100,3007,541.34,3549,68,2,3007,0,24401220,12,14,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Mumbai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3608,100,3708,667.51,4376,69,2,3708,0,24401220,16,14,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Mumbai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4185,100,4285,771.33,5056,70,2,4285,0,24401220,19,14,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Pune,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1943,100,2043,367.78,2411,71,2,2043,0,24401220,6,15,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Pune,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2277,100,2377,427.94,2805,72,2,2377,0,24401220,9,15,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Pune,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2907,100,3007,541.34,3549,73,2,3007,0,24401220,12,15,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Pune,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3608,100,3708,667.51,4376,74,2,3708,0,24401220,16,15,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Pune,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4185,100,4285,771.33,5056,75,2,4285,0,24401220,19,15,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Nagpur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1943,100,2043,367.78,2411,76,2,2043,0,24401220,6,16,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Nagpur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2277,100,2377,427.94,2805,77,2,2377,0,24401220,9,16,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Nagpur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2907,100,3007,541.34,3549,78,2,3007,0,24401220,12,16,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Nagpur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3608,100,3708,667.51,4376,79,2,3708,0,24401220,16,16,1,2,0,1,14,0000-00-00 00:00:00
WEST,Maharashtra 1,ovhhwugrqp35xqou86kot42j,Nagpur,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4185,100,4285,771.33,5056,80,2,4285,0,24401220,19,16,1,2,0,1,14,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1991,100,2091,376.46,2468,81,2,2091,0,24401220,6,17,1,2,0,1,17,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2317,100,2417,435.04,2852,82,2,2417,0,24401220,9,17,1,2,0,1,17,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2947,100,3047,548.43,3595,83,2,3047,0,24401220,12,17,1,2,0,1,17,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3753,100,3853,693.54,4547,84,2,3853,0,24401220,16,17,1,2,0,1,17,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Ahmedabad,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4156,100,4256,766.09,5022,85,2,4256,0,24401220,19,17,1,2,0,1,17,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1991,100,2091,376.46,2468,86,2,2091,0,24401220,6,18,1,2,0,1,17,0000-00-00 00:00:00
