product_id,Kolkata,BBSR,Guwahati,Mumbai,Patna,Ranchi,Raipur,Lucknow,Indore,Nagpur,Pune,Bangalore,Hubli,Goa,Hyderabad,Gujarat,Chennai,Coimbatore,Kochi,Delhi,Gurgaon,Haryana,Ghaziabad,Ludhiana,Rajasthan,Uttarakhand
u39wif3ek7by76xlhclajsqp,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
lebby18mefrayix0p3viuxux,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
jxi3bk7lly1zj8isbwn9jg5z,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
delizhsw9xaiqkbywyz56982,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
pjs4yd2jdc902fbu7fj81lep,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
hc2509te6vor5xi9se1kp58v,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
an9bqrp4lhnw0xjnhozycejb,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
hckgzk84nu5i47gyavlqtx1j,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
mmfgjm623j0g5c2kzm245mh1,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
h0v6ty0pdjhiz236aecw3mo2,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
xg68l4h1la9k5c8j677a047d,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
v0aikv723bjwqsqmejj2e1qr,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
r8vusn2alan37xfme1y791of,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
kxqd1xgcits9qfw6xmx1uboh,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
t9wu7hqb5az1jm2dha290o9u,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
cai6cdb1k3rleuve1i8y59uu,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
w5stilnwj0ve7fo2k4v3z3gv,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
upi6kqo958laitd0vharpwd8,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
px2ulfb5eab2w63zagiv7d3h,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
vbocyvcaqkrgwedhg05hu5m5,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
p7k6d3bwebd4ogwvxohcpk93,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
dkh15l61f5b4n85ojx385ulw,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
la3cw54hv0nmqga7kvlmofws,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
fsrxt6xf8v8vk0m9lpbpc9er,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
zyucsu5df2sem9c3hewu6dj2,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
yyaz6ujyok8a6tkl92oz3h1t,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
cvvp97ds5j7ffqs5p9v75h8i,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
q36c0splqf8hac9b63ja6lcr,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
lswrxzae02ikyegs1td5q5ae,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
sk9z8pjdtu07i3ze104l3a3t,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
i41ghjl4b2q41fkgpryxn3ro,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
he9yr32eo4kpp86rqcx5iuk6,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
h2a7oi8u9y7nw6bx3bqt2d9w,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
i4kv6cqekevybixo1whbtub9,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
vfcyhw1fawt1goome9r4uc1d,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
y486vdhg5qpv8ybmxh6rwemj,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
fe9uai8t1360psyocb9gxvnq,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
tu1hrenv3u7y5wxk4lx2yibz,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
cmczlpt0mgmy5wykv4vt01fu,1450,1445,1500,1545,1480,1480,1505,1515,1520,1540,1515,1473,1450,1470,1480,1520,1474,1486,1470,1433,1480,1480,1485,1492,1502,1496
